,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K
NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,1.3283671707967204,0.16093565183621764,0.08498378704539299,0.19281215281583708,,0.07780571059095068,,,0.01505827900527191,,,,,,,120.74160788176933,439.9844480735724,,,0.1766639033805089,,0.13976733786922993,,,
NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,1.5990323537336477,0.19148085475719717,0.43007198334245844,0.17796337220937153,,,,0.07183688207338175,,,35411.20932430084,,,0.3572647659979313,,,,0.31368578294891536,,,201.23615786785737,,,,1.756585949180913
NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,4.225305862591053,0.35025082770174076,1.0222909949686674,,,85.70035062255474,,0.05243668916769609,10.035858760520522,,,,,,3867.5883146791034,,2913.819312403767,,22166.479378936303,,,,77987.7484204036,3644.3741765963664,
NIST-MATDB-aab7f4d547e6752b772d6f12520fde3b,1.797914625725572,0.17584206358262214,1.2248348040994146,,139.00516578846555,200.81769522533222,,,26.889889084951534,,1564.066198538487,,,,,,,,,,,1361.477161895096,,9570.929555354283,
NIST-MATDB-5d0728ebc1e0053aa120288307a704c8,,0.34083086251190325,0.9065398385646122,0.36961970713583703,,167.16773119627356,,,0.004090673837962407,21.873392271229402,5.766782066420335,,,,31.899103000095565,,2580.742463295991,,337.20147565832644,0.29693478974307297,,1628.9888791019393,,,
NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,41.46314302455624,0.36002437987824454,0.6834753376779487,,,,,0.032641919061017315,,,140490.3882666725,,,,,,,0.8972548997052694,,,708.9256992039541,,,,
NIST-MATDB-f55cae58cff61d336d8b65bece21175f,1.5649531423761938,0.28580053336420397,0.34053163364055106,,,,,0.054649054969591444,2.7523876946319654,2.1577392956445935,2990.4519580423726,,,,,,,0.31790408340460274,,,,,2249.8883049105443,,
NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,1.2393200402722309,,0.6142213892416837,,,,1.019074371610138,0.2510556377948673,,,,,,0.3583629458543732,,,,0.29642973335716494,,,,,,,
NIST-MATDB-297c8ffe0f482757db45335130e02770,1.8863880291167554,,0.6350102509242108,,,,1.2924077329550063,0.24604571156415367,,,,,,0.2536271661408443,,,,0.33178358854654777,,,,,,,
NIST-MATDB-2f391b46b4e3f7747db4ad7bba0ccbfd,0.3983592431117512,0.07164402129259159,0.10572086061016797,0.06174123492989887,,,,0.011591542731007052,,,,0.13613168295581854,0.06760321556438956,,,,,,,0.04382875490560532,150.69158653322853,,,,
NIST-MATDB-90c6a1887a5e0f522854022bac0600a2,,,,,,,,,,,60.370864592013625,,,,46.860321688717484,182.87628328625922,493.5169230828014,,,,,6.082032210953434,,51.705494670870756,
NIST-MATDB-e23e0f3921a269533d74caae8c5a12bf,1.7402356552243046,0.12181311612549989,0.37948368923325737,,,,,0.07416421742054784,,,,,,,7.62246810360348,1186.1464393615383,2680.3447165578327,3.7505978495360015,,,,,,3.5422692422331687,
NIST-MATDB-6f2de59bc9a4aafa57769c230fce91ab,4.452680200529866,,0.45921634237680387,,32.03615617893363,27.564548591658586,,,10.285359032299947,7.2735611478023765,,,,,,,,,,,,,,,
NIST-MATDB-19f0b99c8dbe789defa47a66736fe641,3.0346638426849863,,0.592777068383642,,44.11370284216878,47.04362325942028,,,6.712912868714389,8.388750300988617,,,,,,,,,,,,,,,
NIST-MATDB-1b5c20248717ca46ef341e3c5f2c1f30,0.746236531556438,0.03915838325957044,0.41205036916212356,,,0.10592353912397112,,0.1024962392543009,1.5266481794008027,,,,,,,,,,,,,,,,
NIST-MATDB-f5e80ffaaaf05f4ed655664fd22defb9,53.45745489255194,1.1796623575276621,1.3846746548996705,,257.0741092391538,214.35652254613345,,0.5607837496303106,21.75365106755938,98.27545632940797,31583.221050031545,,,,,,,,,,92.10659074101581,,,,
NIST-MATDB-dd648c6388274576eaa6f506d849b3f9,4.77286831807304,0.348613787826433,0.8395890790679478,0.3260582133877096,,,,0.10103328582438816,,,1059.5183659151332,,,,,,,0.9619772235837283,,,,,,,
NIST-MATDB-a4ed01077a429c5f198b12181cd8b6d8,5.300579581829796,,0.9154083450799263,,,194.12701564212665,24.25809892797073,,17.103594775266313,13.04985934656445,,,,,,,,,,,,,,,
NIST-MATDB-5b3ad76c63b1ce87a685648f69a4de28,38.18943244756243,1.389094042797802,1.0961853535303212,,340.27354310794647,137.342174655136,,0.03957437619565368,23.092453439415767,101.10363296796336,63836.85155213816,5.807323871075634,1.099417586047415,600.8322755231356,,,2605.7557800025825,,,,,,,,
NIST-MATDB-ad8443a58b6d0f9c90e2c966b478e551,9.186041585552797,0.39970531688301886,1.1439749593549418,,,,29.28538937694425,,12.090677027007704,20.213030259956632,,,,,,,,,,,,,,,
NIST-MATDB-8b2f5bfff597fd6ac1507365a3732a97,14.555166204558704,186.96462287820938,0.9600820419134961,,,,,0.03864823457654342,34.87437268922737,286.90570761787075,,10.377524880140804,15.313059880535778,,,,,,,,,,,,
NIST-MATDB-98261e1cacd11dbc66fdc2910f2226ce,0.13553241307672842,,0.021481494997133137,,,,,0.019623946103461333,,,,14.76450741748552,1.0579928465579942,,,311.43102891619463,,,,0.14785441598504045,,,608.9164069394647,,
NIST-MATDB-6fd1bd97a5b2289108bee3430b51618c,2.120864263949325,0.13500553566349066,0.45211398892745364,0.11749433255268495,,,,0.03773528431400217,,,,,,,,,,0.1958617411145629,,,,,,,
NIST-MATDB-48f4023d446be2a618f2ac6acc88fee2,1.567526500103553,,0.19756137883347819,,13.437336504510009,,,0.10978046947224032,,,1376.5691184845134,,,,,,2448.4650252489664,,,,,,,4.200450188370005,
NIST-MATDB-aa9d45b8f26556531b2b8a0a19335c9b,1.9356530103490885,0.12914253973549877,0.7323867901188671,,53.32423863003947,58.50009622108739,7.133104325317926,,11.994064524962852,8.442225957123544,,,,,,,,,,,,,,,
NIST-MATDB-d46634db5e453c0b9bd1d9ceee9f7876,,,0.48194935680943674,,52.02467969584015,56.5266117729223,7.234777516021959,,6.5734489163065515,4.425083608369878,,,,,,,,,,,,,,,
NIST-MATDB-b9bffc1a1dbe706adfe44577120a9311,0.6754512737066732,0.1787268705684103,0.3369622575920207,0.01578451830815619,,,,0.08089880103816229,,,382.0480679853229,,,,,,,,,,,,,,
NIST-MATDB-e8a1a82c4fe2ad952d1c107156f780f2,1.9926146277243992,0.19220962194122865,0.3108836213175191,,,,17.41803123036533,,3.5697443781637577,7.671620160762547,2622.1925233842803,,,,,,168.62067658609075,,,,,,213.88240726996878,,
NIST-MATDB-8cae84fb784881ac1d577dea3d006c4e,3.6250861921580397,,0.22368566992690408,,78.15111544229349,194.65584855105402,,,91.21695323166594,37.73217243487727,,,,,,,,,,,,371.61743826962015,,,
NIST-MATDB-8d651cf53aa2990d2cccb34177e624ff,1.7829654823741559,0.17350552889948564,0.5027870984230033,0.16558063972227596,,,,0.643361297420871,,,,,,,,,,,,0.16512069721530456,,,,,59.95517374622109
NIST-MATDB-c9b48f1b01eb70760c7d618b9ac9c937,7.48162611994084,0.15013886163415724,0.24374138206376947,0.2294229967889261,,,24.076227488916402,3.2916387728486174,1.533279087054552,12.43896222818632,,,,,,,,0.1836621021618427,,0.170458914380597,,,,,508.25030907936457
NIST-MATDB-081a0818678716f502aee0b58ac1b30a,17.510261184523873,,0.27586366445535987,,,,,,,,34011.82858702825,,,,,11067.639168339463,148191.52420983085,,,,513.0697980715084,,,,
NIST-MATDB-2a55d7fddaa59cb289e94c60012b7c80,0.628977061624073,789.1236230580924,0.08598987716254405,,,,2.2316042145238044,0.036716829892694855,,,,,,,,,,,,0.32591830705674024,,,,,
NIST-MATDB-df647d61b00b35b8b88ae26030802346,2.716598380019226,0.20169817556496125,0.6071166286894635,,,64.85412574003253,,,9.08644453304597,,,,,,,,,0.2543793651732723,,,,,,1770.4926792952979,
NIST-MATDB-be9f51ea48c4eeb348d95a383edddd8a,2.8819789852242734,,0.4676158602704455,,,20.29494082569541,,0.2907919982974848,3.2015067471209595,,,,,,,,,,,,,106.88849278612044,,,
NIST-MATDB-c235e2b9f0e0f3949e37b5ac3054f2ec,,,0.8258432647612203,,,,,0.10418035061733016,,,937.0220091878541,,,,12.723448927084078,15616.920288254281,,,906.8602550054093,,,,1675.370141934798,2.430437315173133,
NIST-MATDB-cd6c0017018587105d09e3d97e01da71,,0.18596158512389693,0.8353350648619701,,22.28855065604292,34.6196530151549,,,7.627177928706738,4.809564728493041,,,,,,,,,,,,,,,
NIST-MATDB-6e0014114e24ab8e83b8782e3c9ed523,4.393490944190645,,0.8348605799918272,,91.44705735728616,104.77369803498831,,,0.9550681497822497,8.008513398828386,,,,,,,,,,,,198.31537148351077,,,
NIST-MATDB-1ce14eb3e9cae7c5664342ced717c6d0,2.0496736488349914,,0.8024175740887941,,32.33369278850463,35.166856944083506,,,4.198849476923355,4.69173943663781,,,,,,,,,,,,307.6209288313687,,,
NIST-MATDB-dbdb9914fccedd909788d47def5a8189,0.8292394725885985,,,,1.5096165017651508,,1.7300680431958368,0.009004281514380437,,0.7071380445417272,,,,,,,,0.0181653413923922,,,,,,,
NIST-MATDB-778beb7bfaa9cc0a813164b795c0dee9,1.18263448952825,,,,1.7674765756691788,,2.010956053901305,0.004144512142729693,,0.898924413824723,,,,,,,,0.030682222998444607,,,,,,,
NIST-MATDB-c136610bba5d15e93297c7a7a13c6c9e,0.43474753976025265,,,,0.4814511698216191,,0.9876143247147978,0.005539415732499517,,0.25645806189053494,,,,,,,,0.011294556070424526,,,,,,,
NIST-MATDB-c322422555c7d028cceccd6f450a3c5b,0.43353294635506834,,,,0.3770795387858664,,0.3674511308950526,0.0029629902344995114,,0.32348403608954834,,,,,,,,0.011717986044041666,,,,,,,
NIST-MATDB-f9d8e90117d20eb0ddead5c076230cd5,0.4553722341583018,,,,0.47880961177623843,,0.7041264644753276,0.0025378570853496437,,0.2945300127988663,,,,,,,,0.012013672104839425,,,,,,,
NIST-MATDB-17cf1c83cd26c9e331afe4eeeac10e9f,0.5284975405154444,,,,0.7645639654367895,,0.864182414306433,0.004474933709762558,,0.41170499179715975,,,,,,,,0.015656093426644303,,,,,,,
NIST-MATDB-d1644201ec3b21d8e8c31c3df7c6f060,4.382802194383137,0.19568610098127334,0.5462764432078281,0.1184677039090066,,,,,,,,,,,,,,0.2681201373024268,,0.15256179676208137,,,,,
NIST-MATDB-99bf92208771cc605a3faf79b8eabf10,,,0.64250455717869,,,37.612291825405634,7.763674658506861,,5.659302589278895,4.228416556567363,,,,,,209.52506142741547,23.43079362297246,,60.699831189896116,,,,10.678956922408888,,
NIST-MATDB-22cc5d2f7013cee412e01e9ff0861ce4,,,,,0.9074158440521259,0.5953255357718534,20.42184195259422,,2.7463749346485837,6.677907636753937,,,,,,,,,,,,0.3758597422025741,,,
NIST-MATDB-4c5fc9ec0f07f55545f660abeabc296d,7.705373740674188,0.1889212620531884,1.136828280425456,0.22159533785426014,,,,0.022552483045915908,,,,,,,,,,,,0.3243736244044222,,,,,
NIST-MATDB-30dd74c9be4b046c2076cd94dec7e267,57.626860095996584,273.2069786529139,67.93867966867934,,,,,,,,52.48646529806436,,,,,165.661536534083,206.9875698169449,,,,,,,,
NIST-MATDB-29da3034f56a3f314e86df224086cae2,,,0.7325539665631781,,,102.69243079565612,,,16.43134871842523,,4141.887805733212,,,,,,,,,,,833.3303009517663,,495.24594551505294,
NIST-MATDB-7fdf5997d47b59af2318c9cf774e49ca,,,,,,56.69645591801695,,,,,47.115810229667915,,,,5280.734055521977,330.27431461939227,638.8578102661759,,619.8371649094074,,,,,,
