,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,SFZCNBIFKDRMGX-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,TXEYQDLBPFQVAA-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,ZWEHNKRNPOVVGH-UHFFFAOYSA-N_298K,LELOWRISYMNNSU-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,JCXJVPUVTGWSNB-UHFFFAOYSA-N_298K,CSCPPACGZOOCGX-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,NNPPMTNAJDCUHE-UHFFFAOYSA-N_298K,HEDRZPFGACZZDS-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,VEXZGXHMUGYJMC-UHFFFAOYSA-N_298K,WEVYAHXRMPXWCK-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,RWSOTUBLDIXVET-UHFFFAOYSA-N_298K,VZGDMQKNWNREIO-UHFFFAOYSA-N_298K,TVMXDCGIABBOFY-UHFFFAOYSA-N_298K,IMNFDUFMRHMDMM-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,LRHPLDYGYMQRHN-UHFFFAOYSA-N_298K,IVSZLXZYQVIEFR-UHFFFAOYSA-N_298K,URLKBWYHVLBVBO-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K,SWQJXJOGLNCZEY-UHFFFAOYSA-N_298K,BZLVMXJERCGZMT-UHFFFAOYSA-N_298K,GQPLMRYTRLFLPF-UHFFFAOYSA-N_298K,XSTXAVWGXDQKEL-UHFFFAOYSA-N_298K,VXNZUUAINFGPBY-UHFFFAOYSA-N_298K,YTPLMLYBLZKORZ-UHFFFAOYSA-N_298K,QSHDDOUJBYECFT-UHFFFAOYSA-N_298K,WSFSSNUMVMOOMR-UHFFFAOYSA-N_298K,QWTDNUCVQCZILF-UHFFFAOYSA-N_298K
NIST-MATDB-e9c6470c64e6851a659f848cdc83c9c0,1.7396470328622429,,0.567031083133027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,2.5431421578701707,0.21070053113859544,0.5949884365042815,0.14143655076969017,,,,0.023972841369237018,,,1691.4223436575596,,,,33.328599988335625,,,,0.2483472224132383,,23.03536461730304,,,,,,,,,,,,,542.8661686895634,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-9ee35322ac5ddba224d845a03c651b29,311.92703255370486,,1.072150130258467,,,,,0.029000746451418563,,,89503.60529441418,,,,,,130161.82524625528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-1bec35045ff04e3e998779529c40911e,,1.0985132013917207,,0.24608000988460038,,,,0.026858582178768443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-0d52b4312e8dd98a53fcfaba14cd0e82,,,,,5853.983942533296,303.270486098512,,0.05594670419489868,,,33.32319857592391,,,,,,,,,,,,,,,,,,231.68560265220623,,,,,,,,,,,,,,,,,,,,,51.82762029568114,,,,
NIST-MATDB-1e130146cc6d11f05471f1e054d640c8,110.59235799668134,,0.26759096211459865,,,374.2694599461969,,0.6497737561670055,21.57826209921872,286.63011701494077,,,,,,,,38.64652291192344,,,,,,,857.0071667644897,,,,,,,,,,,,,,,,,,,,,,,,,,,,707448.5858565435,
NIST-MATDB-5459928475d67c6ab6d041d44e0e75ec,,,,,,,,,,,698.2375648871717,,,,7101.862786457663,1337.1207568016328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-4b6b8d075137440a74b43145829416ff,0.3978850747626542,,0.15743011743878943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-2be3f76e89de64f04afef89ff9675060,0.501405055836374,,0.15154262133365462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-722edd8fe1a3a9be081c053f62f9607c,0.5268088919566013,,0.5803902007168642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-7032b455c28a70ff55755d0dd9e17c8f,0.3870636857785029,,0.16861747519726317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-b848f05ba9fb26cdd50755863b377c56,3.6447478192646035,0.5221018629450316,1.1470690491925981,,,,,,,,1.6209954176003991,,,,,,,,0.2768382336628067,,,,,,,,,,,,,,,,,,,,,,,,,,60.777848519214345,,,,,,,,,
NIST-MATDB-47dadc99a0da13b9e9bb3032468ecbdf,0.4602338826590896,,0.31908821137215626,,,,,0.012055238220052621,,,9.0875106710409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-edaa060e8bf42315ee173f0f417382ef,,,,,,,,,,,,0.2924796963445066,,,,,,1.3594400102108357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-9738b4c576b1cebef6546d13f5b2b2b8,,,,,,,,,,,,0.6799378473601633,,,,,,0.9674930327431228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-aee8f75a6dc031e439bbdde7524fe7df,,,,,,,,,,,,5.281055003185777,,,,,,7.056722826437943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-086b920211419f05c4b3b5ca777a38d0,5.141866711872346,,,,,,,,,,,,,,,,,,4.6416749328731965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-50b94c4253ab983024717bad7b6e5e5d,11.12723965579756,10.94234383305891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-25d1befd753514f3817d47cddeb2011e,60.01141628689844,0.1411410116871911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-dcd0ffc01d247d59ad529f1c626e63e4,52.431574551505726,0.08014053374112418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-bae1f8fff9227c215409f291e47cb0b3,10.317303589820856,0.8025552325457915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-3339a3670a48af90b5e4bb4b17694aed,6.539622443688335,2.235324993375011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-36fd1693b02e9593d371e53bc73478e2,7.5705102423609665,1.5049384450953651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-5eeb37664de08b731baed19524bb8469,,,,,0.16351451894580143,426.1003770605211,,0.033209846773801455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,1.3283671707967204,0.16093565183621764,0.08498378704539299,0.19281215281583708,,0.07780571059095068,,,0.01505827900527191,,,,,,,120.74160788176933,439.9844480735724,,,,,,0.1766639033805089,,,,,,0.13976733786922993,,,,,,,,7.522775169482871,,,,,,,,,,,,,,,,,
NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,1.5990323537336477,0.19148085475719717,0.43007198334245844,0.17796337220937153,,,,0.07183688207338175,,,35411.20932430084,,,0.3572647659979313,,,,,0.31368578294891536,,,,,,,201.23615786785737,1.4152258778112865,,,,,,,,,,,,,,,,,,1.756585949180913,,,0.055051320760218354,,,,,,
NIST-MATDB-c72a7787d6aa9690e6f0e608535eba56,1.3744485322589046,0.17481429006010427,0.5247825814765376,,,,,,,,,,,,,,,,,,,,,,,278.17561758431816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-30cd18fdfeb9951585bf327f31556422,1.0680394515012805,,0.549594545207391,,,,,0.17559418556164397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-139fa76b34e8599641ff3814365cf4b4,1.1026622490268139,,0.6325903026628235,,,,,0.20392467599480607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,4.225305862591053,0.35025082770174076,1.0222909949686674,,,85.70035062255474,,0.05243668916769609,10.035858760520522,,,,,,3867.5883146791034,,2913.819312403767,,,,22166.479378936303,,,,,,,,,,,,,,,77987.7484204036,,,,,3644.3741765963664,,,,,0.0013175325234706873,,,,,,,655.3102770408126,
NIST-MATDB-4893112abea8381fb010e80eb095b991,1.7323274443391083,,0.2469507485154188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-9ab18a5aa1db0a6827d18e1707055261,46.232361297022976,,,,,,,,,,40772.648981124454,10.867241815847947,1.3252885646961314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-a378219a763aefdf46b08bb3faff567f,1.1699958569773923,,0.6039016429989797,,,,,0.12706472831214005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-7eaaa346f9da8b5cbfb9f57acfe66a67,3.2853801960313476,,0.10640184884446204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-ca704ca161b3d372d991227664ebd1c2,12.302105012512758,,0.06402641684937718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,7.987355845778827,,0.11455091884656926,,,,,,,,9390.459895251062,,,,,3560195.280615681,155232.5797546704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-ef2e7a1950f7856f5ed1cb1446029559,17.879748817382712,,0.0711043182856396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-770ed56e7968554d6e542250173b9c4f,11.529228648902029,,0.10532881330474021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-4a1722bcb0f483f2834a69159a4706a0,21.7840820667825,,0.14031870490136997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-89e81937227ff55fd71de86adb493b79,6.4197230792479685,0.3083120636384199,1.6589259591053893,,,,,0.42027536921901026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-d8cf38b309ee3a17162e8cfe4c836f7e,7.287472634376904,0.23464796288571738,1.0669799818374779,,,,,0.44740539850019473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-96713fc6845e0ffe5a35364c2d59e6dc,1.975641819314217,,0.5597338426266635,,,,,0.04913906882918735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-9d023a670a2aedb5225d9cd365e24210,3.503097499208125,,0.7020624240822475,,,,,0.10811982391762877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0928629851082532,,,,,,,,,
NIST-MATDB-da5220e5839a57a58fc9a754a694c09d,1.2466955688890715,,,,,,,0.13801805656201382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.410659118026608,,,,,,,,,
NIST-MATDB-50a3853a98978c9f945415855081c914,,,1.798639789435544,,,,,0.0156168194813955,,,,18.97307941387274,,,,,,,,,,2.1451760574016423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-aab7f4d547e6752b772d6f12520fde3b,1.797914625725572,0.17584206358262214,1.2248348040994146,,139.00516578846555,200.81769522533222,,,26.889889084951534,,1564.066198538487,,,,,,,,,,,,,,,,,,1361.477161895096,,,,,,,,,,,,9570.929555354283,,,,,,,,,,,,,
NIST-MATDB-522d29cb5d21925b793001fffba6304c,,,,,59860.56046051047,,,0.08424267533816379,,,,,,,,,,,,,,,,35097.02702751536,5.858980494350757e+16,,,,,,,,,,,,,,,,,,,,,,55341.67063541001,,,,,,,
NIST-MATDB-5d0728ebc1e0053aa120288307a704c8,,0.34083086251190325,0.9065398385646122,0.36961970713583703,,167.16773119627356,,,0.004090673837962407,21.873392271229402,5.766782066420335,,,,31.899103000095565,,2580.742463295991,,,,337.20147565832644,,0.29693478974307297,159791.96981436166,8.836749065677096e+17,,,,1628.9888791019393,127.64013296844726,1299.4017186996714,,,,,,,,,,,,,,,0.007402136846692914,386067.5374991694,,12691.143488389047,,,,,
NIST-MATDB-41ede36fa7795c589a6a3d1eae23d252,,,,,13728.991018994635,,,,,,,,,,,,,,,,,,,6538.817787548391,,,,,,,,,,,,,,,,,,,,,,,341818.5347990056,,,,,,,
NIST-MATDB-23506cc55d3de9f24c4d5469150087e0,,,,,,,,,10.45258939668016,58.29988065431724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,41.46314302455624,0.36002437987824454,0.6834753376779487,,,,,0.032641919061017315,,,140490.3882666725,,,,,,,19.88815222177083,0.8972548997052694,,,,,,,708.9256992039541,,,,,,,,,,,,,,,,,,,,0.0006116601099768605,,,,,,,,
NIST-MATDB-bcdcfd2a766d7832328e4c822f0ea910,0.007150193196083725,,0.01683652815554054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-8e55461b906f16468b20f94f58cda28b,5.9378219784233135,,2.450265935529737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-71e258921af11fdef45c4fe8b66b466f,3.4067553410482954,,0.32133338407818085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-f55cae58cff61d336d8b65bece21175f,1.5649531423761938,0.28580053336420397,0.34053163364055106,,,,,0.054649054969591444,2.7523876946319654,2.1577392956445935,2990.4519580423726,,,,,,,,0.31790408340460274,,,,,,,,,,,,,,,,,2249.8883049105443,,,,,,,,39866.63640829215,,,,,,,,,,
NIST-MATDB-eb8a03810908350733a3ad317d9a5927,1.8520903611066633,0.7219166813181424,0.6861461557194568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-a4b3fc60364cef8a9eb12e7bbc908a8b,1.8338674247582454,0.5094697180035119,0.6403556944148727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-71334e26f762777895a284849f14ca16,,,0.22167262846593944,,,,1.7524853429060914,,1.9592921241557915,1.25158447141956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,1.2393200402722309,,0.6142213892416837,,,,1.019074371610138,0.2510556377948673,,,,,,0.3583629458543732,,,,,0.29642973335716494,,,,,,,,0.5172854657337036,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-297c8ffe0f482757db45335130e02770,1.8863880291167554,,0.6350102509242108,,,,1.2924077329550063,0.24604571156415367,,,,,,0.2536271661408443,,,,,0.33178358854654777,,,,,,,,0.5913759706720277,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-8e358d0abd7beabbade6c019d3f9be95,,,,,,,,,,,,,,,,,,,,,,,,3053.622479597961,,,,298.31036439903914,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-53256c6245916687da75e9161379dc5f,,,,,,,,,,,,,,,,,,,,,,,,53203.30150857823,,,,2520.6029247568167,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-66da0953adc7f80111c7b71c5a83614c,,,,,,,,,,,,,,,,,,,,,,,,9658.879325717518,,,,1486.40819963876,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-d86d4371ef53e79be2d4bfa4da89d87d,10.04100844616909,,2.3495866014590865,,,,,,40.43132788420423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-3bcbe5f0888db2574defd57d79d7d773,0.5308867216655843,,0.05795766621095242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-46fba13baac8f481cd78f7e868231d21,0.4738981653971369,,0.10570269948319332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-91667673d284cbc294d29127195e3339,0.4888369063341864,,0.10918669043316633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-77700cb0f2ac4cf7b40d9f0137479df6,245.9497060662426,0.12170922937885217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
