,Carbon Dioxide,Nitrogen,Methane,Oxygen,Propene,N-propane,Acetylene,Hydrogen,Ethane,Ethene,Water,Xenon,Krypton,Nitric oxide,N-Hexane,Methanol,Ethanol,Sulfur Hexafluoride,Carbon monoxide,Cyclohexane,Benzene,Argon,Ammonia,Nitrogen Dioxide,Acetone,N-Butane,Isobutane,2-Propanol,1-Propanol,Toluene,Hydrogen sulfide,N-Pentane,1-Butanol,P-Xylene,Sulfur dioxide,Helium,Nitrous oxide,1-butene,Formaldehyde,2-Methylbutane
Zn3(TCPB)2(H2O)2,1.3962830340445813,0.02109397492544428,0.1475436337217098,,,,,,,,3227.0974976670236,,,,,,,,0.053273158009416684,,,,,,,,,,,,,,,,,,,,,
C62H50Cd3K2N2O26,,,0.106639233912659,,,,,,,,18.723845894154984,,,,,5.188329405783946,2.17369345186677,,,0.14034371152802216,0.35476494925406266,,,,,,,,,,,,,,,,,,,
UiO(bdpc),0.0191258442692619,,0.004985787553956908,,,,,,,,,,,,,,982.4581571726914,,,,11107.807133780385,,,,,,,,,,,,,,,,,,,
FIR-7a-ht,,,0.6054483197243267,,,40.68111291510833,,,5.966138194502589,3.447801018793848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCOF-1,,,0.5684220899925853,,,95.09303696672521,,,16.44965438618865,7.223311061580362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn(bdc)(ted)0.5,2.120864263949325,0.13500553566349066,0.45211398892745364,0.11749433255268495,,,,0.03773528431400217,,,,,,,,,,,0.1958617411145629,,,,,,,,,,,,,,,,,,,,,
MIL-68(Al),1.7207218720989244,0.26381502480249297,0.4371473160575206,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.860640514566394,,,,,,,,,
UiO-66-Br,3.7891787996427015,0.2195626785726718,1.0192524764687698,,,,,,,,,,,,,,,,0.3338903784795433,,,,,,,,,,,,,,,,,,,,,
UiO-66-NO2,3.9458742558628046,0.2675002612770664,0.9788365690476891,,,,,,,,,,,,,,,,0.4456120900904453,,,,,,,,,,,,,,,,,,,,,
MIL-100(Cr),1.567526500103553,,0.19756137883347819,,13.437336504510009,,,0.10978046947224032,,,1376.5691184845134,,,,,,2448.4650252489664,,,,,,,,,,,,,,,4.200450188370005,,,,,,,,
SBA-15,2.5006495688057018,,,,,,,,0.2667081968235847,1.5046816769940503,,,,,,,,,,,114.08597208862794,,,,,,,,,,,,,,,,,,2622.5076254622063,
UTSA-30a,1.9356530103490885,0.12914253973549877,0.7323867901188671,,53.32423863003947,58.50009622108739,7.133104325317926,,11.994064524962852,8.442225957123544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIF-95,1.2320144496292385,0.08692456780579888,0.27338667759808777,,,,,0.026579189514187338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSA-35a,,,0.48194935680943674,,52.02467969584015,56.5266117729223,7.234777516021959,,6.5734489163065515,4.425083608369878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMCM-1,0.6754512737066732,0.1787268705684103,0.3369622575920207,0.01578451830815619,,,,0.08089880103816229,,,382.0480679853229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMCM-2,0.8184420112927915,0.201083817499778,0.3288067771324016,,,,,0.06007040576341063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti/GO,1.043380461990532,0.2888644135134293,0.19973853304221456,,,,,,,,,,,,,,,,10.166611518398664,,,,,,,,,,,,,,,,,,,,,
MIL-100(Fe),1.9926146277243992,0.19220962194122865,0.3108836213175191,,,,17.41803123036533,,3.5697443781637577,7.671620160762547,2622.1925233842803,,,,,,168.62067658609075,3.4626527856301994,,,,,,,,,,,,213.88240726996878,,,,,,,,,,
Yb(BPT)(H2O)*(DMF)1.5(H2O)1.25,0.7413516105884157,,0.23332237657617316,,,,1.4348999850361077,,,,,,,,,22.70787501292515,10.078597656350244,,,,,,,,,,,,,,,,,,,,,,,
ZIF-7,3.6250861921580397,,0.22368566992690408,,78.15111544229349,194.65584855105402,,,91.21695323166594,37.73217243487727,,,,,,,,,,,,,,,,371.61743826962015,,,,,,,,,,,,84.17119609532585,,
COF-102,2.6589677831054273,0.31648617627073866,0.592399363352612,,,,,0.1202426743924357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF-10,2.644552000383673,,0.4050169974803722,,,,,0.07308728642838436,,,,,,,,,,,,,,,36.710682616251745,,,,,,,,,,,,,,,,,
SNU-21S,2.680976613119733,0.26295142012251255,0.47366537122443003,,,,,0.04938852070163004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNU-21H,2.745540596770354,0.24301777977129263,0.6614319410972571,,,,,0.02125392509451981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Cu(INAIP)]*2H2O,9.65881488170431,0.21544752716077537,,,,,,,,,111.62089292272226,,,,,190.84395741593968,3687.1775299758456,,,,,,,,,,,37.74280135272197,,,,,16.23596629011293,,,,,,,
C115.5H202N14O43Zn4,,,,,,,,,,,217.89914240602064,,,,,41.2109190841929,13.559269747582935,,,,5.18475824566511,,,,,,,,,5.964700312147826,,,,,,,,,,
CID-3,3.2189223361113672,0.14212524320296674,,0.1873678706155929,,,,,,,,,,,,594.2663489083682,627.140894946161,,,,,,,,,,,,,,,,,,,,,,,
[Co(2)(pyridine)2(H2O)],0.48282895231130385,0.03481222951814739,0.08326871873629044,0.03970749753368496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Co4(OH)2(2)3DMF2],0.6841591607599411,0.05288340156665527,0.17142405782194464,0.08230191653522263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rho-ZMOF,12.355777044568782,0.10798995563815854,16.751245776775118,,,,,0.02261824540825397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Ag4(L(S))3(NO3)4]*x(Guest),,,,,,,,,,,,,,,,53.24414634058324,87.35126133711513,,,407.37065569530125,,,,,,,,,,136.22005237915462,,,,,,,,,,
Ni(bodc)(ted)0.5,,,,,,,,0.09502973616780652,,,,,,,2344.3049699047297,63.94650775693212,303.4353095438616,,,,,,,,,,,,1508.481211259783,,,,,43605.74795391625,,,,,,
[Zn2(ip)2(bpy)2]*DMF}n,,,,,,,,,,,191.43947201278172,,,,,48.69597172895181,171.26504540070988,,,,13.256526658006186,,,,,,,,,,,,,,,,,,,
NOTT-202a,1.7829654823741559,0.17350552889948564,0.5027870984230033,0.16558063972227596,,,,0.643361297420871,,,,,,,,,,,,,,0.16512069721530456,,,,,,,,,,,,,59.95517374622109,,,,,
{[Ni(bpe)2(N(CN)2)](N(CN)2)}n,,,,,,,,,,,228.72222142126193,,,,,38.78274897387334,68.573890046921,,,,,,,,21.64842427063936,,,,,,,,,,,,,,,
NOTT-300,7.48162611994084,0.15013886163415724,0.24374138206376947,0.2294229967889261,,,24.076227488916402,3.2916387728486174,1.533279087054552,12.43896222818632,,,,,,,,,0.1836621021618427,,,0.170458914380597,,,,,,,,,,,,,508.25030907936457,,,,,
gea-MOF-1,1.2343171086929683,,0.5887257781074018,,,55.00233836683554,,,5.606476687871273,,,,,,,,,,,,,,,,,102.99870697191415,,,,,,,,,,,,,,
Zeolite 4A,17.510261184523873,,0.27586366445535987,,,,,,,,34011.82858702825,,,,,11067.639168339463,148191.52420983085,,,,,,513.0697980715084,,,,,,,,,,,,,0.0004980698194531555,,,,
Co2(dhtp),,,,,771.6358081507741,434.51872409014436,,,36.482482364203555,78.64110205032681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg2(dhtp),,,,,307.1254693705828,252.83012608174178,,,21.154026899746015,46.93006535438959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIF-10,,,0.1930122912185353,,,17294.38928998317,,0.049118771690443284,0.5716308049886849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIF-68,2.382012074505502,0.13618063107222717,1.014146560030516,,,,,0.2541042624924875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOF-14,2.749357909373927,0.20357164948074602,1.0034706130995201,,,,,0.02529342947218396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIF-69,2.2945078004317816,0.18861479469813697,0.5870257246039636,,,,,0.44046977576630053,,,3.2434960816742766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIF-71,0.9974975627728386,,0.3282988243604498,,,,,,,,17.275971009651578,,,,,37.36333905525495,170.20298770277356,,,,,,,,,,,,,,,,,,,,,,,
Zeolite ISV,0.6058493265622457,0.1388265185384279,,,,,,,,,,,,,,,,,,,,,,,,185.65124730656723,890.6558006385748,,,,,,,,,,,,,1607.2106883975284
Zeolite BEA,0.6668649367826408,0.15456523861815474,,,,,,,,,,,,,,,,,,,,,,,,324.82102337637673,435.712437476176,,,,,,,,,,,,,
Zeolite Na-Y,17.078809776237243,,,,,,,,,29.773235435502755,,,,,,,,,0.5777048105664196,,,,,,,,,,,,,,,,,,,,315663.2026364296,
MOF-2,0.628977061624073,789.1236230580924,0.08598987716254405,,,,2.2316042145238044,0.036716829892694855,,,,,,,,,,,,,,0.32591830705674024,,,,,,,,,,,,,,,,,,
Silica Gel,1.5329287103253797,0.11869705308628045,,,,,,,,,1563.3042294930947,,,,,,,,,,,,162.16511232234205,,,,,,,,,,,,,,,,,
Zn-DABCO,2.716598380019226,0.20169817556496125,0.6071166286894635,,,64.85412574003253,,,9.08644453304597,,,,,,,,,,0.2543793651732723,,,,,,,,333.2986591218684,,,,,1770.4926792952979,,,,,,,,
Co2(m-dobdc),,,,,10373.726167449984,602.6169801190543,,,40.14380007628083,869.2520653130547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni2(m-dobdc),,,,,13386.653845853334,600.4982488306505,,,41.68790833610348,1078.3763770519836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn2(m-dobdc),,,,,9945.786212153816,409.71837706176956,,,28.80088442951867,692.3221776913259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe2(m-dobdc),,,,,12213.159185299912,431.15697455170186,,,33.053777993106436,1320.803374439468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-soc-MOF-1,1.2318456360045213,,0.471740035763994,0.3073178678713614,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13169106646694814,,,,,,,,,
Tb-pek-MOF-1,2.8819789852242734,,0.4676158602704455,,,20.29494082569541,,0.2907919982974848,3.2015067471209595,,,,,,,,,,,,,,,,,106.88849278612044,,,,,,,,,,,,,,
Hydroxylated UiO-66,2.6530145338808864,0.18914553856962152,0.5717214815572927,,,,,0.005989450701464528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UiO-66-S1,1.6167513902224224,0.16374429578842886,0.42941132192267933,,,,,0.0059557062418263374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D [Cu(bpy)2(OTf)2]n,,,,,,,,,,,511.4521001492764,,,,,260.51872264361987,924.9855032103468,,,,,,,,,,,,3337.081032612048,,,,,,,,,,,
Zn2C14N2O8H4,,,0.8258432647612203,,,,,0.10418035061733016,,,937.0220091878541,,,,12.723448927084078,15616.920288254281,,,,,906.8602550054093,,,,,,,,,1675.370141934798,,2.430437315173133,,,,,,,,
UTSA-57a,2.177419894969863,,0.2870865969638055,,,,8.800541224296188,,,4.175339124576885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU-125-F2,2.5588942642825825,0.22645574396364074,0.5445108659077502,,,,,0.06983761215573635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU-125-F1,3.7819453342364473,0.33957209118177173,0.7916567787878984,,,,,0.1780230990628235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{[Zn2(bpdc)2(azpy)]*2H2O*2DMF}n,0.010780987391326735,,,,,,,,,,142.2311354103031,,,,,29.12262562428681,,,,,11.77338467663924,,,,,,,,,,,,,,,,,,,
FIR-8a-ht,2.451927150754556,,0.9502074927068519,,,252.97854965789676,,,21.13349947604018,12.070323310889759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Cd(bipy)0.5(Himdc)]n,2.9260908902547826,,0.42791454190938805,,,,,,,,,,,,,142.37536094883757,57.967237766330264,,,,288.6271372610471,,,,,,,,,,,,,,,,,,,
PIF6,0.2903724548902987,0.008184766683432218,0.029911994453373465,,,,,0.001374841876527792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU-135,3.7898076190936076,3288.4252098726106,0.9587152525056273,,,,,0.11825765083463392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMOF-2,0.26812434297275417,0.9573890603541213,3.75739273166498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.169321625138315,,,,,
UTSA-72a,2.1171073306423254,0.06310661221082421,0.28608416766613926,,,,5.20214985998424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
